length	run	comparisons	blacklistings
776	10	21057	0
784	1	20453	0
784	2	18926	1
784	3	16032	1
784	4	17229	1
784	5	20478	0
784	6	19935	0
784	7	21894	0
784	8	18488	1
784	9	19081	1
784	10	20795	1
792	1	20878	0
792	2	18178	1
792	3	20809	0
792	4	14833	1
792	5	18055	1
792	6	18268	1
792	7	19919	0
792	8	15012	1
792	9	20601	0
792	10	20706	0
800	1	22014	0
800	2	22295	0
800	3	21008	0
800	4	20541	0
800	5	16956	1
800	6	21998	0
800	7	21449	0
800	8	22503	0
800	9	21688	0
800	10	16427	1
808	1	21262	0
808	2	17081	1
808	3	19400	0
808	4	20906	0
808	5	18350	1
808	6	20453	0
808	7	22171	0
808	8	20902	0
808	9	20909	0
808	10	23664	0
816	1	19275	1
816	2	21578	0
816	3	21041	0
816	4	21181	0
816	5	15575	1
816	6	20752	0
816	7	21732	0
816	8	18852	1
816	9	20897	0
816	10	21842	0
824	1	22686	0
824	2	20055	1
824	3	19483	1
824	4	21797	0
824	5	21711	0
824	6	21908	0
824	7	22252	0
824	8	22013	0
824	9	21340	0
824	10	18606	1
832	1	23080	0
832	2	17625	1
832	3	23733	0
832	4	21940	0
832	5	21336	0
832	6	24036	0
832	7	22720	0
832	8	23787	0
832	9	17731	1
832	10	20196	1
840	1	17918	1
840	2	22086	0
840	3	21718	0
840	4	22755	1
840	5	22601	0
840	6	21175	1
840	7	18346	1
840	8	21478	0
840	9	21954	0
840	10	23582	0
848	1	21469	1
848	2	18343	1
848	3	19743	1
848	4	23641	0
848	5	22529	0
848	6	22561	0
848	7	23248	0
848	8	23112	0
848	9	20361	1
848	10	23517	0
856	1	22285	0
856	2	21385	0
856	3	22244	0
856	4	22026	0
856	5	23382	0
856	6	17941	1
856	7	17721	1
856	8	18932	1
856	9	23414	0
856	10	22742	0
864	1	25275	0
864	2	23485	0
864	3	24114	0
864	4	22659	0
864	5	23032	0
864	6	24113	0
864	7	24043	0
864	8	18769	1
864	9	22379	0
864	10	22941	0
